Geographic code,Geographic name,Province or territory,"Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011",2011 adjusted population flag,"Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016"
535,Toronto (Census metropolitan area),Ontario,F,5928040,5583064,F,6.2,2235145,2135909,5905.84,1003.8
5350001,5350001,Ontario,F,595,604,F,-1.5,274,247,6.1,97.6
5350002,5350002,Ontario,F,620,657,F,-5.6,279,270,3.17,195.4
5350003,5350003,Ontario,F,749,673,F,11.3,267,258,0.91,820.5
5350004,5350004,Ontario,F,6686,6781,F,-1.4,3609,3455,0.34,19453
5350005,5350005,Ontario,F,6424,5510,F,16.6,3729,3424,0.38,17076
5350006,5350006,Ontario,F,0,0,F,,0,0,0.01,0
5350007.01,5350007.01,Ontario,F,3237,3325,F,-2.6,1827,1747,0.2,16233.7
5350007.02,5350007.02,Ontario,F,4753,4962,F,-4.2,2653,2506,0.44,10891.4
5350008.01,5350008.01,Ontario,F,7503,2729,T,174.9,5192,4954,0.3,25262.6
5350008.02,5350008.02,Ontario,F,9942,6553,T,51.7,6390,6060,1.86,5345.7
5350009,5350009,Ontario,F,567,271,F,109.2,169,166,0.1,5499.5
5350010.01,5350010.01,Ontario,F,5428,4608,F,17.8,3281,3147,0.26,20670.2
5350010.02,5350010.02,Ontario,F,7740,7113,F,8.8,4628,4447,0.55,14144.7
5350011,5350011,Ontario,F,17549,8645,F,103,15207,11891,0.98,17903.5
5350012.01,5350012.01,Ontario,F,11658,5911,F,97.2,7449,6881,0.42,27843.3
5350012.03,5350012.03,Ontario,F,8865,5892,T,50.5,5997,5311,0.47,19003.2
5350012.04,5350012.04,Ontario,F,4899,4772,T,2.7,3258,2956,0.23,21272.3
5350013.01,5350013.01,Ontario,F,6290,4739,T,32.7,4499,4059,0.34,18332.8
5350013.02,5350013.02,Ontario,F,8126,5862,T,38.6,5270,4725,0.42,19449.5
5350014,5350014,Ontario,F,1242,644,F,92.9,975,691,0.47,2628
5350015,5350015,Ontario,F,3663,3411,F,7.4,2451,2226,0.29,12807.7
5350016,5350016,Ontario,F,10101,6063,F,66.6,6527,6180,0.65,15430.8
5350017,5350017,Ontario,F,7906,6883,F,14.9,5250,4663,1.34,5889.5
5350018,5350018,Ontario,F,2456,2088,F,17.6,1319,1248,0.35,7081.9
5350019,5350019,Ontario,F,3258,3127,F,4.2,1410,1365,0.25,13089.6
5350020,5350020,Ontario,F,2390,2352,F,1.6,1028,1014,0.74,3236.3
5350021,5350021,Ontario,F,5199,5081,F,2.3,2830,2661,0.87,5977.9
5350022,5350022,Ontario,F,3883,3767,F,3.1,1577,1504,0.55,6998.9
5350023,5350023,Ontario,F,3208,3340,F,-4,1355,1286,0.69,4673.7
5350024,5350024,Ontario,F,6887,6590,F,4.5,3136,2963,0.71,9713.7
5350025,5350025,Ontario,F,3456,3277,F,5.5,1659,1610,0.53,6540.5
5350026,5350026,Ontario,F,6486,6394,F,1.4,2894,2695,0.78,8344.3
5350027,5350027,Ontario,F,4390,4459,F,-1.5,1818,1724,0.49,9046
5350028.01,5350028.01,Ontario,F,1387,988,T,40.4,728,684,0.21,6690.8
5350028.02,5350028.02,Ontario,F,6198,5130,T,20.8,3007,2836,0.46,13383.7
5350029,5350029,Ontario,F,6987,6495,F,7.6,3099,2962,0.67,10354.2
5350030,5350030,Ontario,F,4529,3831,F,18.2,2319,2195,0.38,11893.4
5350031,5350031,Ontario,F,6274,6176,F,1.6,2864,2765,0.26,24270.8
5350032,5350032,Ontario,F,5363,5264,F,1.9,2976,2641,0.42,12781.2
5350033,5350033,Ontario,F,5042,4979,F,1.3,3010,2733,0.32,15780.9
5350034.01,5350034.01,Ontario,F,4554,4504,F,1.1,2884,2268,0.12,36578.3
5350034.02,5350034.02,Ontario,F,5147,5207,F,-1.2,3409,3055,0.4,12922.4
5350035,5350035,Ontario,F,9876,7262,F,36,6772,5707,0.66,14900.4
5350036,5350036,Ontario,F,5487,4915,F,11.6,3641,3272,0.38,14311.4
5350037,5350037,Ontario,F,4494,4873,F,-7.8,2463,2116,0.45,9957.9
5350038,5350038,Ontario,F,3772,4029,F,-6.4,1820,1638,0.37,10303.2
5350039,5350039,Ontario,F,4192,4678,F,-10.4,1821,1709,0.32,13186.5
5350040,5350040,Ontario,F,4568,4904,F,-6.9,1961,1788,0.37,12396.2
5350041,5350041,Ontario,F,3453,3459,F,-0.2,1588,1453,0.32,10889.3
5350042,5350042,Ontario,F,4570,4532,F,0.8,2150,1965,0.49,9328.4
5350043,5350043,Ontario,F,3965,3907,F,1.5,1863,1704,0.55,7158.3
5350044,5350044,Ontario,F,8825,5033,F,75.3,5124,4629,0.49,17988.2
5350045,5350045,Ontario,F,3453,3637,F,-5.1,1567,1468,0.3,11693.2
5350046,5350046,Ontario,F,3281,3380,F,-2.9,1404,1330,0.42,7808.2
5350047.02,5350047.02,Ontario,F,3791,4189,F,-9.5,2083,1947,0.29,13209.1
5350047.03,5350047.03,Ontario,F,703,700,T,0.4,376,361,0.12,5952.6
5350047.04,5350047.04,Ontario,F,2846,2759,T,3.2,1253,1180,0.27,10394.4
5350048,5350048,Ontario,F,3557,3516,F,1.2,1660,1560,0.34,10617.9
5350049,5350049,Ontario,F,3663,3641,F,0.6,1506,1426,0.46,7879.1
5350050.01,5350050.01,Ontario,F,8746,6824,F,28.2,4553,4336,1.28,6816.8
5350050.03,5350050.03,Ontario,F,1109,1108,T,0.1,606,590,1.7,653.2
